Transaction_ID,Customer_ID,Transaction_Type,Source_Country,Destination_Country,Source_City,Destination_City,Source_Currency,Destination_Currency,Exchange_Rate,Transaction_Amount,Converted_Amount,Fee_Charged,Tax_Applied,Total_Deduction,Sharia_Compliant,Contract_Type,Transaction_Date,Transaction_Time,Processing_Time_Seconds,Fraud_Flag,AML_Flag,Risk_Score,Channel,Device_Type
TXN000001,CUST7258,Remittance,UK,UK,Manchester,Manchester,GBP,GBP,1.0,2442.84,2442.84,66.96,27.08,94.03999999999999,Yes,Salam,2024-06-20,18:36:02.049355,60.82,0,0,12,Online Portal,Mobile
TXN000002,CUST2171,Online Transfer,USA,Saudi Arabia,New York,Jeddah,USD,SAR,207.59,2051.46,425862.58,47.29,30.77,78.06,Yes,Ijara,2026-03-22,00:48:48.467010,32.48,0,0,10,Branch,Mobile
TXN000003,CUST3890,Trade Finance,Saudi Arabia,UAE,Jeddah,Dubai,SAR,AED,161.32,374.82,60465.96,10.94,4.46,15.399999999999999,Yes,Salam,2024-07-23,10:05:17.988990,61.92,0,0,1,Branch,Desktop
TXN000004,CUST4874,SWIFT,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,718.6,53895.0,9.17,5.07,14.24,Yes,Salam,2025-07-06,07:28:14.039462,98.73,0,0,3,Mobile App,ATM
TXN000005,CUST4343,SWIFT,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,4445.52,328968.48,118.31,52.66,170.97,Yes,Salam,2025-01-26,02:36:27.820677,28.88,0,0,22,Branch,ATM
TXN000006,CUST9570,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,2427.13,179607.62,55.17,17.73,72.9,Yes,Ijara,2025-08-30,16:30:41.080854,65.8,0,0,12,Branch,Desktop
TXN000007,CUST9956,Trade Finance,Saudi Arabia,Kuwait,Riyadh,Kuwait City,SAR,KWD,179.44,1786.27,320528.65,18.52,12.65,31.17,Yes,Salam,2024-04-18,17:20:28.371800,117.89,0,0,8,Mobile App,ATM
TXN000008,CUST9493,SWIFT,Saudi Arabia,UAE,Jeddah,Abu Dhabi,SAR,AED,139.48,179.3,25009.32,4.97,2.06,7.029999999999999,Yes,None,2024-04-05,16:09:09.038073,19.71,0,0,0,ATM,Mobile
TXN000009,CUST9099,Online Transfer,USA,USA,Chicago,Chicago,USD,USD,1.0,247.79,247.79,4.42,1.43,5.85,Yes,Murabaha,2026-01-08,04:50:02.031892,15.92,0,0,1,Online Portal,Mobile
TXN000010,CUST7415,Trade Finance,USA,USA,New York,Chicago,USD,USD,1.0,1917.72,1917.72,24.62,31.13,55.75,Yes,Ijara,2025-04-01,09:13:26.914535,52.53,0,0,9,Online Portal,Mobile
TXN000011,CUST1234,SWIFT,UAE,Pakistan,Dubai,Karachi,AED,PKR,75.0,583.81,43785.75,15.3,11.46,26.76,Yes,Murabaha,2025-12-08,20:32:48.943668,8.11,0,0,2,Mobile App,ATM
TXN000012,CUST7183,Remittance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,1457.66,109324.5,17.87,14.94,32.81,Yes,Murabaha,2024-07-09,10:37:24.016493,43.45,0,0,7,ATM,Mobile
TXN000013,CUST9918,SWIFT,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,2979.02,220447.48,73.57,48.41,121.97999999999999,Yes,Murabaha,2024-12-07,00:26:00.786309,14.38,0,0,14,ATM,Desktop
TXN000014,CUST1095,Remittance,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,1479.89,109511.86,23.69,19.96,43.650000000000006,Yes,None,2025-05-24,19:28:48.514172,57.35,0,0,7,Branch,Mobile
TXN000015,CUST7467,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,10110.97,758322.9,128.13,106.53,234.66,Yes,None,2024-03-30,03:58:19.923049,57.28,0,0,50,Online Portal,Mobile
TXN000016,CUST8081,Trade Finance,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,3334.49,250086.75,65.84,26.87,92.71000000000001,Yes,Salam,2024-06-24,10:15:27.383021,72.24,0,0,16,Branch,Desktop
TXN000017,CUST7398,Remittance,UAE,Saudi Arabia,Abu Dhabi,Jeddah,AED,SAR,132.36,320.54,42426.67,7.94,2.26,10.2,Yes,Ijara,2025-05-18,14:49:13.818920,108.99,0,0,1,Mobile App,ATM
TXN000018,CUST4138,Online Transfer,UAE,Pakistan,Dubai,Lahore,AED,PKR,75.0,225.81,16935.75,5.2,4.2,9.4,Yes,None,2025-06-03,11:25:09.067346,37.26,0,0,1,Branch,Mobile
TXN000019,CUST1914,SWIFT,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,7460.71,559553.25,183.1,100.96,284.06,Yes,Murabaha,2025-06-24,19:30:17.363141,33.99,0,0,37,Online Portal,Mobile
TXN000020,CUST1230,Remittance,UAE,Pakistan,Dubai,Lahore,AED,PKR,75.0,1370.39,102779.25,22.79,13.81,36.6,Yes,None,2025-02-15,04:58:41.507817,26.17,0,0,6,Mobile App,Mobile
TXN000021,CUST7326,Trade Finance,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,3877.71,290828.25,49.64,60.73,110.37,Yes,Murabaha,2025-07-03,03:10:50.794942,58.03,0,0,19,Branch,ATM
TXN000022,CUST3389,SWIFT,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,1399.02,103527.48,35.14,7.35,42.49,Yes,Salam,2024-06-04,04:01:37.134661,108.87,0,0,6,Online Portal,Desktop
TXN000023,CUST7750,Trade Finance,Saudi Arabia,USA,Riyadh,Chicago,SAR,USD,131.53,825.34,108556.97,16.72,15.41,32.129999999999995,Yes,Murabaha,2025-07-04,08:02:52.381669,36.35,0,0,4,ATM,Desktop
TXN000024,CUST2778,Remittance,Kuwait,Saudi Arabia,Kuwait City,Jeddah,KWD,SAR,65.21,8231.57,536780.68,154.21,42.18,196.39000000000001,Yes,None,2024-08-16,07:23:15.978936,50.12,0,0,41,Mobile App,Mobile
TXN000025,CUST9384,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,349.63,26222.25,7.76,2.22,9.98,Yes,Murabaha,2025-02-02,06:50:09.214175,117.2,0,0,1,Online Portal,Desktop
TXN000026,CUST8933,Remittance,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,1359.96,100637.04,17.1,11.15,28.25,Yes,Murabaha,2026-01-20,18:30:38.454275,25.74,0,0,6,ATM,Desktop
TXN000027,CUST6757,Trade Finance,UAE,Pakistan,Dubai,Karachi,AED,PKR,75.0,547.51,41063.25,7.75,7.43,15.18,Yes,Salam,2025-06-09,09:23:23.372234,15.92,0,0,2,Mobile App,Desktop
TXN000028,CUST5617,Trade Finance,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,2956.36,218770.34,55.15,40.02,95.17,Yes,Salam,2025-04-26,23:59:58.286125,91.77,0,0,14,Branch,ATM
TXN000029,CUST7356,Online Transfer,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,4176.46,309058.04,55.68,24.87,80.55,Yes,Salam,2024-06-29,19:54:19.107477,47.18,0,0,20,Online Portal,Mobile
TXN000030,CUST6107,Remittance,Saudi Arabia,Pakistan,Jeddah,Islamabad,SAR,PKR,74.0,1140.45,84393.3,32.2,21.14,53.34,Yes,Salam,2025-10-19,05:43:30.189064,43.84,0,0,5,Online Portal,ATM
TXN000031,CUST2368,Trade Finance,Saudi Arabia,Pakistan,Jeddah,Islamabad,SAR,PKR,74.0,1451.45,107407.3,38.19,23.45,61.64,Yes,Murabaha,2025-08-23,22:19:30.994812,29.3,0,0,7,Mobile App,Mobile
